group,names,scores,logfoldchanges,pvals,pvals_adj
19.0,Cirbp,57.3161,1.6360025,0.0,0.0
19.0,Scgb1a1,42.58307,4.2669353,0.0,0.0
19.0,Apoa4,42.546864,3.3067045,0.0,0.0
19.0,Txnip,40.988472,1.7297497,0.0,0.0
19.0,Gm42418,37.98623,0.9321271,0.0,0.0
19.0,Msi2,37.846794,0.85032374,0.0,0.0
19.0,Ctrb1,36.60665,2.3581245,2.2415308986434023e-293,2.390247852495705e-290
19.0,Ddx17,36.35813,0.7798008,1.95462622878218e-289,2.0071115627031827e-286
19.0,Rbm3,35.27207,0.59662974,1.5744651950981964e-272,1.3431399241260769e-269
19.0,Cpt1a,34.292667,2.2044957,1.0092814052384542e-257,7.772868600065596e-255
18.0,mt-Atp6,34.019466,1.816441,1.1484694406191882e-253,6.368263048233399e-249
19.0,Sdc4,33.967182,1.0890933,6.802391623119863e-253,5.029234873359952e-250
19.0,Apoa1,33.930836,1.6039702,2.3389108120886894e-252,1.684319539354777e-249
19.0,Srsf5,30.815733,0.4137262,1.6130597136510276e-208,8.205886341463255e-206
19.0,mt-Nd1,30.297438,0.40728843,1.2390039430283521e-201,5.773341902598497e-199
19.0,Arhgef12,30.137938,0.845237,1.5435966223830537e-199,7.132702725928361e-197
19.0,Cym,29.813633,2.8249333,2.600946324549729e-195,1.144622807113353e-192
18.0,mt-Rnr2,29.567625,1.6657836,3.8980659613777085e-192,1.0807387877919697e-187
19.0,Igfbp7,29.477077,1.6324612,5.664269756671945e-191,2.3794224091474194e-188
19.0,S100g,29.371454,2.7440987,1.271824043540751e-189,5.262883821965272e-187
19.0,Firre,28.706032,1.5309741,3.208129724246113e-181,1.210141450404401e-178
18.0,mt-Rnr1,28.641542,1.9097326,2.0431642337058236e-180,3.7764485586329306e-176
19.0,Lamb1,28.608023,0.9589547,5.339467375111655e-180,1.9478517496706662e-177
19.0,Ctdsp2,28.380114,0.7262006,3.5588635073120493e-177,1.233368634252832e-174
