Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,ECM-receptor interaction,9/88,5.578018953639682e-10,8.199687861850332e-08,0,0,24.814160523021283,528.7157461299545,LAMA5;COL4A2;SDC4;COL4A1;DAG1;LAMB1;LAMC1;AGRN;HSPG2
KEGG_2021_Human,Protein digestion and absorption,7/103,8.45395979284022e-07,6.213660447737561e-05,0,0,15.527329749103943,217.12580539733776,COL18A1;COL4A2;COL4A1;ELN;CTRB1;ATP1A1;ATP1B1
KEGG_2021_Human,Thyroid hormone synthesis,5/75,3.695516302442839e-05,0.0018108029881969,0,0,14.909774436090226,152.16625332614535,PAX8;CREB3L2;ALB;ATP1A1;ATP1B1
KEGG_2021_Human,Small cell lung cancer,5/92,9.84688910332156e-05,0.0032059880718341,0,0,11.986085904416212,110.5808703968905,LAMA5;COL4A2;COL4A1;LAMB1;LAMC1
KEGG_2021_Human,IL-17 signaling pathway,5/94,0.00010904721332769338,0.0032059880718341,0,0,11.715552927261976,106.88953725388168,JUND;FOSB;FOS;S100A9;S100A8
KEGG_2021_Human,Amoebiasis,5/102,0.00016033559543799543,0.0039282220882308,0,0,10.744981009224093,93.8922386262267,LAMA5;COL4A2;COL4A1;LAMB1;LAMC1
KEGG_2021_Human,Focal adhesion,6/201,0.0005205446373892402,0.0106103396423368,0,0,6.4500818330605565,48.76671391108642,LAMA5;COL4A2;COL4A1;LAMB1;LAMC1;IGF1R
KEGG_2021_Human,Proteoglycans in cancer,6/205,0.0005774334499230941,0.0106103396423368,0,0,6.319148936170213,47.12137140531573,ARHGEF12;SDC4;CTSL;IQGAP1;HSPG2;IGF1R
KEGG_2021_Human,Fat digestion and absorption,3/43,0.0012945471308939,0.0201479927945073,0,0,15.355670103092784,102.10897717127874,FABP2;APOA1;APOA4
KEGG_2021_Human,Pathways in cancer,9/531,0.0013706117547283,0.0201479927945073,0,0,3.671466464569913,24.20413570111238,LAMA5;ARHGEF12;COL4A2;PAX8;COL4A1;LAMB1;LAMC1;FOS;IGF1R
